icc_match_id,match_date,match_time,home_team,away_team,match_name,tournament_name,match_type,innings_count,hawkeye_link
15,2012-04-12,20:00,Kings XI Punjab,Pune Warriors India,ipl2012-14,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/15/uds/traj
14,2012-04-12,16:00,Chennai Super Kings,Royal Challengers Bangalore,ipl2012-13,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/14/uds/traj
16,2012-04-13,20:00,Kolkata Knight Riders,Rajasthan Royals,ipl2012-15,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/16/uds/traj
17,2012-04-14,20:00,Pune Warriors India,Chennai Super Kings,ipl2012-16,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/17/uds/traj
18,2012-04-15,16:00,Kolkata Knight Riders,Kings XI Punjab,ipl2012-17,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/18/uds/traj
19,2012-04-15,20:00,Royal Challengers Bangalore,Rajasthan Royals,ipl2012-18,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/19/uds/traj
20,2012-04-16,20:00,Mumbai Indians,Delhi Daredevils,ipl2012-19,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/20/uds/traj
21,2012-04-17,16:00,Rajasthan Royals,Deccan Chargers,ipl2012-20,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/21/uds/traj
22,2012-04-17,20:00,Royal Challengers Bangalore,Pune Warriors India,ipl2012-21,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/22/uds/traj
23,2012-04-18,20:00,Kings XI Punjab,Kolkata Knight Riders,ipl2012-22,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/23/uds/traj
24,2012-04-19,16:00,Delhi Daredevils,Deccan Chargers,ipl2012-23,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/24/uds/traj
25,2012-04-19,20:00,Chennai Super Kings,Pune Warriors India,ipl2012-24,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/25/uds/traj
26,2012-04-20,20:00,Kings XI Punjab,Royal Challengers Bangalore,ipl2012-25,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/26/uds/traj
28,2012-04-21,20:00,Delhi Daredevils,Pune Warriors India,ipl2012-27,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/28/uds/traj
27,2012-04-21,16:00,Chennai Super Kings,Rajasthan Royals,ipl2012-26,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/27/uds/traj
29,2012-04-22,16:00,Mumbai Indians,Kings XI Punjab,ipl2012-28,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/29/uds/traj
30,2012-04-22,20:00,Deccan Chargers,Kolkata Knight Riders,ipl2012-29,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/30/uds/traj
31,2012-04-23,20:00,Rajasthan Royals,Royal Challengers Bangalore,ipl2012-30,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/31/uds/traj
32,2012-04-24,16:00,Pune Warriors India,Delhi Daredevils,ipl2012-31,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/32/uds/traj
33,2012-04-24,20:00,Kolkata Knight Riders,Deccan Chargers,ipl2012-32,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/33/uds/traj
35,2012-04-25,20:00,Royal Challengers Bangalore,Chennai Super Kings,ipl2012-34,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/35/uds/traj
34,2012-04-25,16:00,Kings XI Punjab,Mumbai Indians,ipl2012-33,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/34/uds/traj
36,2012-04-26,20:00,Pune Warriors India,Deccan Chargers,ipl2012-35,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/36/uds/traj
37,2012-04-27,20:00,Delhi Daredevils,Mumbai Indians,ipl2012-36,ipl2012,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/37/uds/traj
